"ОКУД
формы","ЦСОД/
СТАТЭК","Полное ведение (ПВ) /
Курирование",Краткое наименование,Отчетный период - за,"Дата получения каталога со статусом ""Итоговый"" в АС ГС ОФСН","Дата перевода каталога в ""Архивный"" статус","код отчётного
периода","ОКУД+Код
(формула)","Отчетная дата
(по бланку)","Период загрузки
отчетов (от)","Период загрузки
отчетов (до)","Рассылка 1
(дата)","Рассылка 2
(от)","Рассылка 2
(до)","Специалист отраслевого отдела
№ телефона, кабинет","Администратор БД от ОИРиТ
№ телефона, кабинет",Примечание
0601009,Ц,ПВ,1-предприятие,2024,28.12.2024,С 1 марта по 15 апреля 2025 года,01012024,060100901012024,15.04.2025,27.02.2025,15.06.2025,27.02.2025,09.04.2025,11.04.2025,"Чулочникова Н.А., т. 527, к. 431","Горячева Светлана Сергеевна, т. 303, к. 307",
0601011,Ц,ПВ,2-МП инновация,2024,#N/A,#N/A,01012024,060101101012024,15.04.2025,09.04.2025,20.05.2025,09.04.2025,10.04.2025,11.04.2025,,"Трушаева Наталья Ивановна, т. 320, к. 307",
0601013,С,ПВ,№ПМ,1 квартал 2025,не позднее 25.03.2025,,04012025,060101304012025,29.04.2025,01.04.2025,16.05.2025,01.04.2025,23.04.2025,25.04.2025,"Полиенко Оксана Ивановна, т. т. 522, к. к. 303","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0601013,С,ПВ,№ПМ,2 квартал 2025,#N/A,#N/A,04022025,060101304022025,29.07.2025,01.07.2025,14.08.2025,01.07.2025,23.07.2025,25.07.2025,"Полиенко Оксана Ивановна, т. т. 522, к. к. 303","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0601013,С,ПВ,№ПМ,3 квартал 2025,#N/A,#N/A,04032025,060101304032025,29.10.2025,01.10.2025,12.11.2025,01.10.2025,22.10.2025,24.10.2025,"Полиенко Оксана Ивановна, т. т. 522, к. к. 303","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0601013,С,ПВ,№ПМ,4 квартал 2025,#N/A,#N/A,04042025,060101304042025,29.01.2026,01.01.2026,13.02.2026,01.01.2026,26.01.2026,28.01.2026,"Полиенко Оксана Ивановна, т. т. 522, к. к. 303","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0601016,С,ПВ,МП(микро),2024,не позднее 25.12.2024,"с 1-го официального 
рабочего дня января 
по 5 февраля
",01012024,060101601012024,05.02.2025,09.01.2025,03.03.2025,1/10/2025,03.02.2025,04.02.2025,"Меньщикова Галина Николаевна, т. 515, к. 302","Рублёва Наталья Адольфовна, т. 322, к. 307",
0601018,С,ПВ,1-ИП,2024,не позднее 28.12.2024,"с 10 января по 2 марта
",01012024,060101801012024,02.03.2025,1/10/2025,01.04.2025,10.01.2025,26.02.2025,28.02.2025,"Курликовская Надежда Алексеевна, т. т. 511, к. 305","Рублёва Наталья Адольфовна, т. 322, к. 307",
0601022,Ц,К,Форма № 1-МО,2024,не позднее 28.12.2024,"с 20 апреля по 1 июня 
после отчетного периода
",01012024,060102201012024,02.06.2025,07.04.2025,31.07.2025,07.04.2025,28.05.2025,30.05.2025,"Волохова Е.А., т. 371-13-00 доб. 254, к. 423","Рублёва Наталья Адольфовна, т. 322, к. 307",
0601023,Ц,К,Приложение к форме № 1-МО,2024,не позднее 28.12.2024,с 1 апреля по 25 апреля после отчетного периода,01012024,060102301012024,25.04.2025,17.03.2025,30.04.2025,17.03.2025,22.04.2025,24.04.2025,"Волохова Е.А., т. 371-13-00 доб. 254, к. 423","Рублёва Наталья Адольфовна, т. 322, к. 307",
0601024,Ц,ПВ,МП(микро)-натура,2024,не позднее 28.12.2024,"с 1-го официального 
рабочего дня января 
по 25 января
",01012024,060102401012024,25.01.2025,09.01.2025,28.02.2025,1/13/2025,22.01.2025,24.01.2025,"Жигулева А.А, т. 509, к. 429",,
0602001,Ц,К,11,2024,#N/A,#N/A,01012024,060200101012024,01.04.2025,14.02.2025,01.04.2025,14.02.2025,3/26/2025,3/28/2025,"Покало Марина Владимировна, т. 356, к. 301б","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0602002,Ц,К,11 (краткая),2024,#N/A,#N/A,01012024,060200201012024,01.04.2025,14.02.2025,01.04.2025,2/20/2025,3/26/2025,3/28/2025,"Колбина Ольга Викторовна, т. 358, к. 301б","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0602003,Ц,К,11 (сделка),2024,#N/A,#N/A,01012024,060200301012024,7/1/2025,23.05.2025,7/1/2025,23.05.2025,6/25/2025,6/27/2025,"Ивлева Елена Викторовна, т. 352, к. 301а","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0602004,Ц,К,11- НА,2024,#N/A,#N/A,01012024,060200401012024,30.06.2025,23.05.2025,30.06.2025,23.05.2025,25.06.2025,27.06.2025,"Колбина Ольга Викторовна, т. 358, к. 301б","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0603023,Ц,К,2-соцподдержка,1 полугодие 2025,"
не позднее 27.06.2025",,02012025,060302302012025,15.07.2025,30.06.2025,21.07.2025,30.06.2025,09.07.2025,11.07.2025,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0603023,Ц,К,2-соцподдержка,2 полугодие 2024,"
не позднее 30.12.2025",,02022025,060302302022025,2/10/2025,1/30/2025,2/17/2025,1/30/2025,2/6/2025,2/7/2025,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0603023,Ц,К,2-соцподдержка,2 полугодие 2025,15.01.2026,02.02.2026,17.02.2026,02.02.2026,15.01.2026,02.02.2026,17.02.2026,02.02.2026,12.01.2026,14.01.2026,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0603027,С,К,3-соцподдержка,2024,не позднее 13.12.2024,"с 1-го рабочего дня января по 10 февраля
после отчетного периода",01012024,060302701012024,10.02.2025,02.01.2025,14.02.2025,02.01.2025,05.02.2025,07.02.2025,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0604011,Ц,ПВ,2-наука,2024,#N/A,#N/A,01012024,060401101012024,11.04.2025,02.04.2025,23.05.2025,02.04.2025,08.04.2025,10.04.2025,"Семухина Екатерина Григорьевна, т. 418, к. 301","Трушаева Наталья Ивановна, т. 320, к. 307",
0604012,Ц,К,2-наука (краткая),1 квартал 2025,не позднее 28.03.2025,,04012025,060401204012025,21.04.2025,01.04.2025,16.05.2025,01.04.2025,16.04.2025,18.04.2025,"Семухина Екатерина Григорьевна, т. 418, к. 302","Трушаева Наталья Ивановна, т. 320, к. 307",
0604012,Ц,К,2-наука (краткая),2 квартал 2025,не позднее 01.07.2025,,04022025,060401204022025,21.07.2025,01.07.2025,14.08.2025,01.07.2025,16.07.2025,18.07.2025,"Семухина Екатерина Григорьевна, т. 418, к. 303","Трушаева Наталья Ивановна, т. 320, к. 307",
0604012,Ц,К,2-наука (краткая),3 квартал 2025,не позднее 26.09.2025,,04032025,060401204032025,20.10.2025,01.10.2025,14.11.2025,01.10.2025,15.10.2025,17.10.2025,"Семухина Екатерина Григорьевна, т. 418, к. 304","Трушаева Наталья Ивановна, т. 320, к. 307",
0604012,Ц,К,2-наука (краткая),4 квартал 2025,не позднее 26.12.2025,,04042025,060401204042025,20.01.2026,01.01.2026,13.02.2026,01.01.2026,17.01.2026,19.01.2026,"Семухина Екатерина Григорьевна, т. 418, к. 305","Трушаева Наталья Ивановна, т. 320, к. 307",
0604016,Ц,К,1-Технология,2024 год,не позднее 27.12.2024,"с 13 января 
по 31 января 
после отчетного периода",01012024,060401601012024,31.01.2025,11.01.2025,06.03.2025,1/10/2025,28.01.2025,30.01.2025,"Ефремова Ирина Анатольевна, т. 408, 2-18, к. 513","Трушаева Наталья Ивановна, т. 320, к. 307",
0604017,Ц,ПВ,№ 4-инновация,2024,#N/A,#N/A,01012024,060401701012024,15.04.2025,01.04.2025,26.05.2025,01.04.2025,09.04.2025,11.04.2025,"Смагина Татьяна Игоревна, т. 3-40, к. 301","Трушаева Наталья Ивановна, т. 320, к. 307",
0604018,Ц,ПВ,3-информ,2024,#N/A,#N/A,01012024,060401801012024,4/1/2025,17.03.2025,21.05.2025,17.03.2025,3/26/2025,3/28/2025,"Панова Ксения Викторовна, т. 371-04-60 (доб. 416), 2-55, к. к. 301","Пузакова Марина Владимировна, т. 315, к. 307",
0604023,Ц,К,2-МП наука,2024,#N/A,#N/A,01012024,060402301012024,26.05.2025,4/7/2025,23.05.2025,14.05.2025,21.05.2025,23.05.2025,"Крутяева Татьяна Владимировна, т. 401, к. 512","Трушаева Наталья Ивановна, т. 320, к. 307",
0604024,Ц,ПВ,3-информ (МП),2024,#N/A,#N/A,01012024,060402401012024,30.04.2025,21.04.2025,19.06.2025,21.04.2025,28.04.2025,29.04.2025,"Крутяева Татьяна Владимировна, т. 401, к. 512","Пузакова Марина Владимировна, т. 315, к. 307",
0604030,Ц,К,1-НК,2024,не позднее 24.12.2024,C 9 по 19 января после отчетного периода,01012024,060403001012024,20.01.2025,28.12.2024,18.02.2025,28.12.2024,15.01.2025,17.01.2025,"Ожгибцева Юлия Анатольевна, т. 409, к. 513","Трушаева Наталья Ивановна, т. 320, к. 307",
0604041,Ц,ПВ,1-робототехника,2024,не позднее 26.12.2024,с 13 по 20 января после отчетного периода,01012024,060404101012024,20.01.2025,09.01.2025,05.03.2025,09.01.2025,15.01.2025,17.01.2025,"Порошина Дарья Алексеевна, т. 406, к. 513",,
0606002,Ц,ПВ,1-Т,2024,не позднее 28.12.2024,с 1-го рабочего дня по 31 января после отчетного периода,01012024,060600201012024,31.01.2025,28.12.2024,21.03.2025,28.12.2024,28.01.2025,30.01.2025,"Велижанина Наталья Владимировна, т. 371-04-60 д. 410, к. 304","Горячева Светлана Сергеевна, т. 303, к. 307",
0606004,Ц,ПВ,1-Т (условия труда),2024,не позднее 23.12.2024,с 1-го рабочего дня по 21 января после отчетного периода,01012024,060600401012024,21.01.2025,28.12.2024,28.02.2025,28.12.2024,15.01.2025,17.01.2025,"Миронова Мария Львовна, т. 371-04-60 (426), 3-38, к. к.301","Пузакова Марина Владимировна, т. 315, к. 307",
0606009,Ц,ПВ,1-ПР,январь 2025,не позднее 29.01.2025,,12012025,060600912012025,04.02.2025,03.02.2025,04.02.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,февраль 2025,не позднее 26.02.2025,,12022025,060600912022025,04.03.2025,03.03.2025,04.03.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,март 2025,не позднее 27.03.2025,,12032025,060600912032025,02.04.2025,01.04.2025,02.04.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,апрель 2025,не позднее 25.04.2025,,12042025,060600912042025,06.05.2025,05.05.2025,06.05.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,май 2025,не позднее 28.05.2025,,12052025,060600912052025,03.06.2025,02.06.2025,03.06.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,июнь 2025,не позднее 26.06.2025,,12062025,060600912062025,02.07.2025,01.07.2025,02.07.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,июль 2025,не позднее 29.07.2025,,12072025,060600912072025,04.08.2025,01.08.2025,04.08.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,август 2025,не позднее 27.08.2025,,12082025,060600912082025,02.09.2025,01.09.2025,02.09.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,сентябрь 2025,не позднее 26.09.2025,,12092025,060600912092025,02.10.2025,01.10.2025,02.10.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,октябрь 2025,не позднее 28.10.2025,,12102025,060600912102025,05.11.2025,01.11.2025,05.11.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,ноябрь 2025,не позднее 26.11.2025,,12112025,060600912112025,02.12.2025,01.12.2025,02.12.2025,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606009,Ц,ПВ,1-ПР,декабрь 2025,не позднее 26.12.2025,,12122025,060600912122025,12.01.2026,09.01.2026,12.01.2026,-,-,-,"Дёмина О.Л., т. 414, к. 301","Пузакова Марина Владимировна, т. 315, к. 307",по наличию явления; нет рассылок
0606010,Ц,ПВ,П-4,январь 2025,не позднее 29.01.2025,,12012025,060601012012025,17.02.2025,01.02.2025,25.02.2025,01.02.2025,12.02.2025,14.02.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,февраль 2025,не позднее 27.02.2025,,12022025,060601012022025,17.03.2025,01.03.2025,25.03.2025,01.03.2025,12.03.2025,14.03.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,март 2025,не позднее 28.03.2025,,12032025,060601012032025,15.04.2025,01.04.2025,25.04.2025,01.04.2025,09.04.2025,11.04.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,апрель 2025,не позднее 28.04.2025,,12042025,060601012042025,15.05.2025,01.05.2025,26.05.2025,01.05.2025,12.05.2025,14.05.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,май 2025,не позднее 29.05.2025,,12052025,060601012052025,16.06.2025,01.06.2025,25.06.2025,6/2/2025,09.06.2025,11.06.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,июнь 2025,не позднее 27.06.2025,,12062025,060601012062025,15.07.2025,01.07.2025,25.07.2025,01.07.2025,09.07.2025,11.07.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,июль 2025,не позднее 29.07.2025,,12072025,060601012072025,15.08.2025,01.08.2025,26.08.2025,01.08.2025,12.08.2025,14.08.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,август 2025,не позднее 29.08.2025,,12082025,060601012082025,15.09.2025,01.09.2025,25.09.2025,01.09.2025,10.09.2025,12.09.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,сентябрь 2025,не позднее 26.09.2025,,12092025,060601012092025,15.10.2025,01.10.2025,27.10.2025,01.10.2025,08.10.2025,10.10.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,октябрь 2025,не позднее 29.10.2025,,12102025,060601012102025,17.11.2025,01.11.2025,26.11.2025,01.11.2025,12.11.2025,14.11.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,ноябрь 2025,не позднее 28.11.2025,,12112025,060601012112025,15.12.2025,01.12.2025,25.12.2025,01.12.2025,10.12.2025,12.12.2025,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4,декабрь 2025,не позднее 26.12.2025,,12122025,060601012122025,15.01.2026,01.01.2026,26.01.2026,01.01.2026,12.01.2026,14.01.2026,"Дьяконова Светлана Аркадьевна, т. 417, к. 301","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4 до 15,1 квартал 2025,не позднее 28.03.2025,,04012025,060601004012025,15.04.2025,01.04.2025,25.04.2025,01.04.2025,09.04.2025,11.04.2025,"Красикова Анастасия Сергеевна, т. 371-04-60(доб.419), к. 510","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4 до 15,2 квартал 2025,не позднее 27.06.2025,,04022025,060601004022025,15.07.2025,01.07.2025,25.07.2025,01.07.2025,09.07.2025,11.07.2025,"Красикова Анастасия Сергеевна, т. 371-04-60(доб.419), к. 510","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4 до 15,3 квартал 2025,не позднее 26.09.2025,,04032025,060601004032025,15.10.2025,01.10.2025,24.10.2025,01.10.2025,08.10.2025,10.10.2025,"Красикова Анастасия Сергеевна, т. 371-04-60(доб.419), к. 510","Горячева Светлана Сергеевна, т. 303, к. 307",
0606010,Ц,ПВ,П-4 до 15,4 квартал 2025,не позднее 26.12.2025,,04042025,060601004042025,15.01.2026,01.01.2026,23.01.2026,01.01.2026,12.01.2026,14.01.2026,"Красикова Анастасия Сергеевна, т. 371-04-60(доб.419), к. 510","Горячева Светлана Сергеевна, т. 303, к. 307",
0606013,Ц,ПВ,3-Ф,январь 2025,не позднее 29.01.2025,,12012025,060601312012025,04.02.2025,31.01.2025,04.02.2025,31.01.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,февраль 2025,не позднее 27.02.2025,,12022025,060601312022025,04.03.2025,28.02.2025,04.03.2025,28.02.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,март 2025,не позднее 28.03.2025,,12032025,060601312032025,02.04.2025,31.03.2025,02.04.2025,31.03.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,апрель 2025,не позднее 28.04.2025,,12042025,060601312042025,06.05.2025,30.04.2025,06.05.2025,30.04.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,май 2025,не позднее 29.05.2025,,12052025,060601312052025,03.06.2025,30.05.2025,03.06.2025,30.05.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,июнь 2025,не позднее 27.06.2025,,12062025,060601312062025,02.07.2025,30.06.2025,02.07.2025,30.06.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,июль 2025,не позднее 29.07.2025,,12072025,060601312072025,04.08.2025,31.07.2025,04.08.2025,31.07.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,август 2025,не позднее 29.08.2025,,12082025,060601312082025,02.09.2025,29.08.2025,02.09.2025,29.08.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,сентябрь 2025,не позднее 26.09.2025,,12092025,060601312092025,02.10.2025,30.09.2025,02.10.2025,30.09.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,октябрь 2025,не позднее 29.10.2025,,12102025,060601312102025,05.11.2025,31.10.2025,05.11.2025,31.10.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,ноябрь 2025,не позднее 28.11.2025,,12112025,060601312112025,02.12.2025,28.11.2025,02.12.2025,28.11.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606013,Ц,ПВ,3-Ф,декабрь 2025,не позднее 26.12.2025,,12122025,060601312122025,09.01.2026,30.12.2025,12.01.2026,30.12.2025,-,-,"Ожгибцева Юлия Анатольевна, т. 2-18,409, к. 513","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 1 рассылка
0606028,Ц,ПВ,П-4 (НЗ),1 квартал 2025,не позднее 28.03.2025,,04012025,060602804012025,08.04.2025,29.03.2025,17.04.2025,3/31/2025,02.04.2025,04.04.2025,"Суркова Е.А., т. 420, к. 304","Усова Яна Сергеевна, т. 321, к. 307",
0606028,Ц,ПВ,П-4 (НЗ),2 квартал 2025,не позднее 27.06.2025,,04022025,060602804022025,08.07.2025,28.06.2025,17.07.2025,28.06.2025,02.07.2025,04.07.2025,"Суркова Е.А., т. 420, к. 304","Усова Яна Сергеевна, т. 321, к. 307",
0606028,Ц,ПВ,П-4 (НЗ),3 квартал 2025,не позднее 26.09.2025,,04032025,060602804032025,08.10.2025,27.09.2025,17.10.2025,27.09.2025,01.10.2025,03.10.2025,"Суркова Е.А., т. 420, к. 304","Усова Яна Сергеевна, т. 321, к. 307",
0606028,Ц,ПВ,П-4 (НЗ),4 квартал 2025,не позднее  26.12.2025,,04042025,060602804042025,10.01.2026,27.12.2025,23.01.2026,27.12.2025,07.01.2026,09.01.2026,"Суркова Е.А., т. 420, к. 304","Усова Яна Сергеевна, т. 321, к. 307",
0606038,С,ПВ,Форма № 1,2025,не позднее 21.04.2025,с 1-го рабочего дня по 20 мая после отчетного периода,01012025,060603801012025,20.05.2026,28.04.2025,10.06.2025,28.04.2025,14.05.2026,16.05.2026,"Максимова Мария Владимировна 371-04-60 доб. 421,  к. 304","Трушаева Наталья Ивановна, т. 320, к. 307",
0606045,другое ПО,ПВ,Форма № ЗП-здрав,1 квартал 2025,не позднее 28.03.2025,,04012025,060604504012025,10.04.2025,31.03.2025,24.04.2025,31.03.2025,07.04.2025,09.04.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606045,другое ПО,ПВ,Форма № ЗП-здрав,2 квартал 2025,не позднее 30.06.2025,,04022025,060604504022025,10.07.2025,30.06.2025,24.07.2025,30.06.2025,07.07.2025,09.07.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606045,другое ПО,ПВ,Форма № ЗП-здрав,3 квартал 2025,не позднее 29.09.2025,,04032025,060604504032025,10.10.2025,29.09.2025,24.10.2025,29.09.2025,07.10.2025,09.10.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606045,другое ПО,ПВ,Форма № ЗП-здрав,4 квартал 2025,не позднее 29.12.2025,,04042025,060604504042025,12.01.2026,29.12.2025,30.01.2026,29.12.2025,09.01.2026,11.01.2026,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606046,другое ПО,ПВ,Форма № ЗП-культура,1 квартал 2025,не позднее 28.03.2025,,04012025,060604604012025,10.04.2025,31.03.2025,24.04.2025,31.03.2025,07.04.2025,09.04.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606046,другое ПО,ПВ,Форма № ЗП-культура,2 квартал 2025,не позднее 30.06.2025,,04022025,060604604022025,10.07.2025,30.06.2025,24.07.2025,30.06.2025,07.07.2025,09.07.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606046,другое ПО,ПВ,Форма № ЗП-культура,3 квартал 2025,не позднее 29.09.2025,,04032025,060604604032025,10.10.2025,29.09.2025,24.10.2025,29.09.2025,07.10.2025,09.10.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606046,другое ПО,ПВ,Форма № ЗП-культура,4 квартал 2025,не позднее 29.12.2025,,04042025,060604604042025,12.01.2026,29.12.2025,30.01.2026,29.12.2025,09.01.2026,11.01.2026,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606047,другое ПО,ПВ,Форма № 3П-наука,1 квартал 2025,не позднее 28.03.2025,,04012025,060604704012025,10.04.2025,31.03.2025,24.04.2025,31.03.2025,07.04.2025,09.04.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606047,другое ПО,ПВ,Форма № 3П-наука,2 квартал 2025,не позднее 30.06.2025,,04022025,060604704022025,10.07.2025,30.06.2025,24.07.2025,30.06.2025,07.07.2025,09.07.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606047,другое ПО,ПВ,Форма № 3П-наука,3 квартал 2025,не позднее 29.09.2025,,04032025,060604704032025,10.10.2025,29.09.2025,24.10.2025,29.09.2025,07.10.2025,09.10.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606047,другое ПО,ПВ,Форма № 3П-наука,4 квартал 2025,не позднее 29.12.2025,,04042025,060604704042025,12.01.2026,29.12.2025,30.01.2026,29.12.2025,09.01.2026,11.01.2026,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606048,другое ПО,ПВ,Форма № 3П-образование,1 квартал 2025,не позднее 28.03.2025,,04012025,060604804012025,10.04.2025,31.03.2025,24.04.2025,31.03.2025,07.04.2025,09.04.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606048,другое ПО,ПВ,Форма № 3П-образование,2 квартал 2025,не позднее 30.06.2025,,04022025,060604804022025,10.07.2025,30.06.2025,24.07.2025,30.06.2025,07.07.2025,09.07.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606048,другое ПО,ПВ,Форма № 3П-образование,3 квартал 2025,не позднее 29.09.2025,,04032025,060604804032025,10.10.2025,29.09.2025,24.10.2025,29.09.2025,07.10.2025,09.10.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
